,ip,num_pkts,mean,median,distinct_values,delta
104,125.74.189.228,8,109.0,109.0,[109],0
105,138.210.116.122,27,106.0,106.0,[106],0
106,142.165.180.135,2,117.0,117.0,[117],0
107,146.66.177.199,92,114.0,114.0,[114],0
108,169.244.50.14,8,105.0,105.0,[105],0
109,173.10.169.140,16,109.0,109.0,[109],0
110,173.58.175.125,1,109.0,109.0,[109],0
111,175.19.208.102,39,45.0,45.0,[45],0
112,180.225.81.42,7,107.71428571428571,108.0,[108 107],1
113,180.225.99.220,120,109.0,109.0,[109],0
114,180.95.226.204,8,45.0,45.0,[45],0
115,182.220.16.2,75,108.0,108.0,[108],0
116,183.234.121.12,8,106.0,106.0,[106],0
117,183.62.46.219,8,46.0,46.0,[46],0
118,184.105.145.251,124,118.0,118.0,[118],0
119,186.103.176.28,8,107.0,107.0,[107],0
120,186.147.245.144,27,112.0,112.0,[112],0
121,186.24.49.66,3,106.66666666666667,107.0,[106 107],1
122,186.5.83.121,2,45.5,45.5,[46 45],1
123,186.67.6.140,10,110.0,110.0,[110],0
124,188.165.89.123,99,112.17171717171718,112.0,[112 113],1
125,188.35.5.113,8,109.0,109.0,[109],0
126,189.254.201.244,4,109.5,109.5,[110 109],1
127,190.106.215.234,155,109.0,109.0,[109],0
128,190.158.252.20,4,113.0,113.0,[113],0
129,190.181.31.172,1,110.0,110.0,[110],0
130,190.249.184.73,1,49.0,49.0,[49],0
131,190.34.42.250,2,106.0,106.0,[106],0
132,190.85.130.90,8,107.0,107.0,[107],0
133,192.99.10.178,224,114.0,114.0,[114],0
134,193.126.3.65,33,105.0,105.0,[105],0
135,193.254.240.137,177,113.0,113.0,[113],0
136,195.69.221.144,158,114.0,114.0,[114],0
137,195.88.112.114,7,111.0,111.0,[111],0
138,197.210.246.246,8,109.0,109.0,[109],0
139,198.178.117.55,8,112.0,112.0,[112],0
140,198.244.58.7,71,115.0,115.0,[115],0
141,198.27.87.197,244,113.85245901639344,114.0,[114 110],4
142,200.46.213.26,7,109.0,109.0,[109],0
143,200.68.10.27,173,108.8092485549133,108.0,[108 110],2
144,200.95.144.122,299,113.0,113.0,[113],0
145,201.238.237.196,6,112.0,112.0,[112],0
146,202.100.84.187,166,110.0,110.0,[110],0
147,202.103.223.113,117,44.0,44.0,[44],0
148,202.106.63.230,271,45.0,45.0,[45],0
149,202.107.231.188,8,105.0,105.0,[105],0
150,202.107.251.35,8,45.75,46.0,[46 45],1
151,202.114.238.116,8,102.25,102.0,[102 103],1
152,202.116.3.67,100,32.76,33.0,[33 32],1
153,202.117.122.49,8,104.0,104.0,[104],0
154,202.198.133.198,8,39.25,39.0,[39 40],1
155,202.201.128.66,15,103.0,103.0,[103],0
156,202.201.208.27,103,101.0,101.0,[101],0
157,202.203.145.12,33,37.63636363636363,38.0,[38 37],1
158,202.205.216.160,9,105.77777777777777,106.0,[106 105],1
159,202.207.12.220,174,102.55172413793103,103.0,[102 103],1
160,202.93.209.250,11,111.0,111.0,[111],0
161,203.111.28.25,27,34.0,34.0,[34],0
162,203.166.180.5,6,109.0,109.0,[109],0
163,203.200.117.73,67,106.0,106.0,[106],0
